thinness_combined,log_gdp,log_population,gdp_expenditure,schooling,dum_Developing,dum_Developed,lifeexpectancy,gdp,totalexpenditure,avg_bmi
17.25,6.370344737094463,17.33409071741254,4767.5551536,10.1,True,False,65.0,584.25921,8.16,19.1
17.5,6.4178697301446705,12.699493684396572,5011.85748452,10.0,True,False,59.9,612.696514,8.18,18.6
17.7,6.448485793723821,17.272826361009795,5136.08665488,9.9,True,False,59.9,631.744976,8.13,18.1
17.95,6.50721651648273,15.12302087729162,5708.050679999999,9.8,True,False,59.5,669.959,8.52,17.6
18.2,4.151626049043815,14.906963613705653,500.03800796999997,9.5,True,False,59.2,63.537231,7.87,17.2
18.4,6.315952652891923,14.874399900714671,5090.626248,9.2,True,False,58.8,553.32894,9.2,16.7
18.65,6.10007968102036,12.557894331441437,4200.314866218,8.9,True,False,58.6,445.8932979,9.42,16.2
18.85,5.922546091512814,14.819603720529228,3110.098098779,8.7,True,False,58.1,373.3611163,8.33,15.7
19.05,5.913059112537709,17.097052852775153,2488.9949070800003,8.4,True,False,57.5,369.835796,6.73,15.2
19.25,5.6078726050739,14.766915505939302,2025.1488110999996,8.1,True,False,57.3,272.56377,7.43,14.7
19.4,3.230572349049879,12.45993161150523,220.05893013,7.9,True,False,57.3,25.2941299,8.7,14.2
19.6,5.389716968180791,16.998509598910733,1926.2524911119997,6.8,True,False,57.0,219.1413528,8.79,13.8
19.799999999999997,5.291939790977135,14.676225575809289,1752.785754552,6.5,True,False,56.7,198.7285436,8.82,13.4
11.049999999999999,5.235622212032439,16.9056400037489,1457.684572,6.2,True,False,56.2,187.84595,7.76,13.0
2.25,4.766412631126249,14.90288089199223,916.4764439999999,5.9,True,False,55.3,117.49698,7.8,12.6
2.4,4.7410987032123355,12.590504769763822,939.3919999999999,5.5,True,False,54.8,114.56,8.2,12.2
1.25,8.282540622202099,10.270662181355965,23725.36698,14.2,True,False,77.8,3954.22783,6.0,58.0
1.25,8.428528911753501,12.573884344954822,26905.49106756,14.2,True,False,77.5,4575.763787,5.88,57.2
1.35,8.392700402125,12.576228314802748,24987.3329724,14.2,True,False,77.2,4414.72314,5.66,56.5
1.35,8.354112781965151,7.9865049385539955,23744.164384199998,14.2,True,False,76.9,4247.61438,5.59,55.8
1.45,8.397774021021085,12.595391433895633,25336.2902628,13.3,True,False,76.6,4437.17868,5.71,55.1
